symbol,security_id,exchange,segment,instrument
ZYDUSLIFE OCT FUT,52570,NSE,D,FUTSTK
BANKNIFTY SEP FUT,52995,NSE,D,FUTIDX
FINNIFTY SEP FUT,52997,NSE,D,FUTIDX
MIDCPNIFTY SEP FUT,52998,NSE,D,FUTIDX
NIFTY SEP FUT,53001,NSE,D,FUTIDX
NIFTYNXT50 SEP FUT,53002,NSE,D,FUTIDX
360ONE SEP FUT,53011,NSE,D,FUTSTK
ABB SEP FUT,53012,NSE,D,FUTSTK
ABCAPITAL SEP FUT,53013,NSE,D,FUTSTK
ADANIENSOL SEP FUT,53014,NSE,D,FUTSTK
ADANIENT SEP FUT,53015,NSE,D,FUTSTK
ADANIGREEN SEP FUT,53016,NSE,D,FUTSTK
ADANIPORTS SEP FUT,53020,NSE,D,FUTSTK
ALKEM SEP FUT,53021,NSE,D,FUTSTK
AMBER SEP FUT,53031,NSE,D,FUTSTK
AMBUJACEM SEP FUT,53032,NSE,D,FUTSTK
ANGELONE SEP FUT,53033,NSE,D,FUTSTK
APLAPOLLO SEP FUT,53034,NSE,D,FUTSTK
APOLLOHOSP SEP FUT,53036,NSE,D,FUTSTK
ASHOKLEY SEP FUT,53037,NSE,D,FUTSTK
ASIANPAINT SEP FUT,53039,NSE,D,FUTSTK
ASTRAL SEP FUT,53040,NSE,D,FUTSTK
AUBANK SEP FUT,53041,NSE,D,FUTSTK
AUROPHARMA SEP FUT,53042,NSE,D,FUTSTK
AXISBANK SEP FUT,53043,NSE,D,FUTSTK
BAJAJ-AUTO SEP FUT,53044,NSE,D,FUTSTK
BAJAJFINSV SEP FUT,53045,NSE,D,FUTSTK
BAJFINANCE SEP FUT,53046,NSE,D,FUTSTK
BANDHANBNK SEP FUT,53047,NSE,D,FUTSTK
BANKBARODA SEP FUT,53048,NSE,D,FUTSTK
BANKINDIA SEP FUT,53049,NSE,D,FUTSTK
